ticker,name
411060.KS,ACE KRX금현물
132030.KS,KODEX 골드선물(H)
144600.KS,KODEX 은선물(H)
292560.KS,TIGER 일본엔선물
261240.KS,KODEX 미국달러선물
261220.KS,KODEX WTI원유선물(H)
271060.KS,KODEX 3대농산물선물(H)
360750.KS,TIGER 미국S&P500
133690.KS,TIGER 미국나스닥100
379800.KS,KODEX 미국S&P500
379810.KS,KODEX 미국나스닥100
381180.KS,TIGER 미국필라델피아반도체나스닥
360200.KS,ACE 미국S&P500
367380.KS,ACE 미국나스닥100
371160.KS,TIGER 차이나항셍테크
379780.KS,RISE 미국S&P500
453870.KS,TIGER 인도니프티50
449180.KS,KODEX 미국S&P500(H)
453810.KS,KODEX 인도Nifty50
251350.KS,KODEX 선진국MSCI World
448290.KS,TIGER 미국S&P500TR(H)
245710.KS,ACE 베트남VN30(합성)
241180.KS,TIGER 일본니케이225
200250.KS,KIWOOM 인도Nifty50(합성)
448300.KS,TIGER 미국나스닥100TR(H)
192090.KS,TIGER 차이나CSI300
372330.KS,KODEX 차이나항셍테크
488500.KS,TIGER 미국S&P500동일가중
414780.KS,TIGER 차이나과창판STAR50(합성)
283580.KS,KODEX 차이나CSI300
143850.KS,TIGER 미국S&P500선물(H)
219480.KS,KODEX 미국S&P500선물(H)
168580.KS,ACE 중국본토CSI300
304940.KS,KODEX 미국나스닥100선물(H)
245340.KS,TIGER 미국다우존스30
245360.KS,TIGER 차이나HSCEI
195980.KS,PLUS 신흥국MSCI(합성 H)
099140.KS,KODEX 차이나H
280930.KS,KODEX 미국러셀2000(H)
195970.KS,PLUS 선진국MSCI(합성 H)
195930.KS,TIGER 유로스탁스50(합성 H)
101280.KS,KODEX 일본TOPIX100
256440.KS,ACE 인도네시아MSCI(합성)
411860.KS,KIWOOM 독일DAX
250730.KS,RISE 차이나HSCEI(H)
238720.KS,ACE 일본Nikkei225(H)
291130.KS,ACE 멕시코MSCI(합성)
310080.KS,RISE 중국MSCI China(H)
195920.KS,TIGER 일본TOPIX(합성 H)
499150.KS,SOL 미국S&P500엔화노출(H)
379790.KS,RISE 유로스탁스50(H)
261920.KS,ACE 필리핀MSCI(합성)
189400.KS,PLUS 글로벌MSCI(합성 H)
105010.KS,TIGER 라틴35
381170.KS,TIGER 미국테크TOP10 INDXX
458730.KS,TIGER 미국배당다우존스
371460.KS,TIGER 차이나전기차SOLACTIVE
457480.KS,ACE 테슬라밸류체인액티브
446720.KS,SOL 미국배당다우존스
402970.KS,ACE 미국배당다우존스
465580.KS,ACE 미국빅테크TOP7 Plus
314250.KS,KODEX 미국빅테크10(H)
474220.KS,TIGER 미국테크TOP10타겟커버드콜
487230.KS,KODEX 미국AI전력핵심인프라
456600.KS,TIMEFOLIO 글로벌AI인공지능액티브
390390.KS,KODEX 미국반도체
483280.KS,KODEX 미국AI테크TOP10타겟커버드콜
497570.KS,TIGER 미국필라델피아AI반도체나스닥
452360.KS,SOL 미국배당다우존스(H)
182480.KS,TIGER 미국MSCI리츠(합성 H)
429000.KS,TIGER 미국S&P500배당귀족
203780.KS,TIGER 미국나스닥바이오
453650.KS,KODEX 미국S&P500금융
352560.KS,KODEX 미국부동산리츠(H)
493420.KS,SOL 미국배당다우존스TR
200030.KS,KODEX 미국S&P500산업재(합성)
218420.KS,KODEX 미국S&P500에너지(합성)
453640.KS,KODEX 미국S&P500헬스케어
287180.KS,PLUS 미국나스닥테크
245350.KS,TIGER 유로스탁스배당30
494410.KS,PLUS 미국S&P500성장주
463680.KS,KODEX 미국S&P500테크놀로지
185680.KS,KODEX 미국S&P바이오(합성)
280320.KS,ACE 미국IT인터넷S&P(합성 H)
460660.KS,RISE 미국S&P배당킹
463640.KS,KODEX 미국S&P500유틸리티
453630.KS,KODEX 미국S&P500필수소비재
219390.KS,RISE 미국S&P원유생산기업(합성 H)
453660.KS,KODEX 미국S&P500경기소비재
463690.KS,KODEX 미국S&P500커뮤니케이션
069500.KS,KODEX 200
278530.KS,KODEX 200TR
102110.KS,TIGER 200
310970.KS,TIGER MSCI Korea TR
148020.KS,RISE 200
229200.KS,KODEX 코스닥150
294400.KS,KIWOOM 200TR
278540.KS,KODEX MSCI Korea TR
152100.KS,PLUS 200
226490.KS,KODEX 코스피
361580.KS,RISE 200TR
295040.KS,SOL 200TR
277630.KS,TIGER 코스피
302450.KS,RISE 코스피
232080.KS,TIGER 코스닥150
328370.KS,PLUS 코스피TR
156080.KS,KODEX MSCI Korea
102780.KS,KODEX 삼성그룹
305720.KS,KODEX 2차전지산업
292150.KS,TIGER TOP10
305540.KS,TIGER 2차전지테마
315930.KS,KODEX Top5PlusTR
466920.KS,SOL 조선TOP3플러스
161510.KS,PLUS 고배당주
091160.KS,KODEX 반도체
396500.KS,TIGER Fn반도체TOP10
449450.KS,PLUS K방산
139260.KS,TIGER 200 IT
462010.KS,TIGER 2차전지소재Fn
091180.KS,KODEX 자동차
091170.KS,KODEX 은행
466940.KS,TIGER 은행고배당플러스TOP10
364980.KS,TIGER 2차전지TOP10
139230.KS,TIGER 200 중공업
325010.KS,KODEX 성장주
227540.KS,TIGER 200 헬스케어
363580.KS,KODEX 200IT TR
139250.KS,TIGER 200 에너지화학
139220.KS,TIGER 200 건설
139270.KS,TIGER 200 금융
147970.KS,TIGER 모멘텀
174350.KS,TIGER 로우볼
227560.KS,TIGER 200 생활소비재
227570.KS,TIGER 우량가치
315270.KS,TIGER 200커뮤니케이션서비스
139290.KS,TIGER 200 경기소비재
139240.KS,TIGER 200 철강소재
227550.KS,TIGER 200 산업재
459580.KS,KODEX CD금리액티브(합성)
488770.KS,KODEX 머니마켓액티브
423160.KS,KODEX KOFR금리액티브(합성)
455890.KS,RISE 머니마켓액티브
153130.KS,KODEX 단기채권
469830.KS,SOL 초단기채권액티브
456610.KS,TIGER 미국달러SOFR금리액티브(합성)
196230.KS,RISE 단기통안채
455960.KS,RISE 미국달러SOFR금리액티브(합성)
468370.KS,KODEX iShares미국인플레이션국채액티브
430500.KS,KIWOOM 물가채KIS
458260.KS,TIGER 미국투자등급회사채액티브(H)
468380.KS,KODEX iShares미국하이일드액티브
332620.KS,PLUS 미국장기우량회사채
332610.KS,PLUS 미국단기회사채(AAA~A)
468630.KS,KODEX iShares미국투자등급회사채액티브
455660.KS,ACE 미국하이일드액티브(H)
182490.KS,TIGER 단기선진하이일드(합성 H)
453850.KS,ACE 미국30년국채액티브(H)
458250.KS,TIGER 미국30년국채스트립액티브(합성 H)
329750.KS,TIGER 미국달러단기채권액티브
484790.KS,KODEX 미국30년국채액티브(H)
472870.KS,RISE 미국30년국채엔화노출(합성 H)
305080.KS,TIGER 미국채10년선물
476750.KS,ACE 미국30년국채엔화노출액티브(H)
476760.KS,ACE 미국30년국채액티브
308620.KS,KODEX 미국10년국채선물
489000.KS,PLUS 일본엔화초단기국채(합성)
267440.KS,RISE 미국장기국채선물(H)
273130.KS,KODEX 종합채권(AA-이상)액티브
385540.KS,RISE 종합채권(A-이상)액티브
451540.KS,TIGER 종합채권(AA-이상)액티브
438330.KS,TIGER 투자등급회사채액티브
363570.KS,KODEX 장기종합채권(AA-이상)액티브
0016X0.KS,SOL 중단기회사채(A-이상)액티브
278620.KS,PLUS 단기채권액티브
336160.KS,RISE 금융채액티브
157450.KS,TIGER 단기통안채
439870.KS,KODEX 국고채30년액티브
114260.KS,KODEX 국고채3년
148070.KS,KIWOOM 국고채10년
302190.KS,TIGER 중장기국채
451530.KS,TIGER 국고채30년스트립액티브
272560.KS,RISE 단기국공채액티브
114100.KS,RISE 국고채3년
426150.KS,WON 대한민국국고채액티브
152380.KS,KODEX 국채선물10년
298340.KS,PLUS 국채선물3년
397420.KS,RISE 국채선물5년추종
LYB,라이온델바젤 인더스트리스
AXP,아메리칸 엑스프레스
VZ,버라이즌 커뮤니케이션스
TPL,Texas Pacific Land Corp
AVGO,브로드컴
BA,보잉
SOLV,솔벤텀
CAT,캐터필러
JPM,제이피모간체이스
CVX,쉐브론
KO,코카콜라
ABBV,애브비
DIS,월트디즈니
CPAY,코페이
EXR,엑스트라 스페이스 스토리지
XOM,엑손 모빌
PSX,필립스 66
GE,제너럴 일렉트릭
HPQ,HP
HD,홈디포
MPWR,모놀리식 파워 시스템스
IBM,인터내셔널 비즈니스 머신스
JNJ,존슨앤드존슨
LULU,룰루레몬 애슬레티카
MCD,맥도날드
MRK,머크
MMM,쓰리엠
AWK,아메리칸 워터 웍스
BAC,뱅크오브아메리카
PFE,화이자
PG,프록터 앤 갬블
T,AT&T
TRV,트래블러스 컴퍼니스
RTX,RTX
ADI,애널로그 디바이시스
WMT,월마트
CSCO,Cisco Systems Inc
INTC,인텔
GM,제너럴 모터스
MSFT,마이크로소프트
DG,달러 제너럴
CI,시그나
KMI,킨더 모건
C,씨티그룹
AIG,아메리칸 인터내셔널 그룹
MO,알트리아그룹
HCA,HCA 홀딩스
IP,인터내셔널 페이퍼
HPE,휴렛패커드 엔터프라이즈
ABT,애보트 래버러토리
AFL,애플랙
APD,에어 프로덕츠 앤드 케미컬스
SMCI,슈퍼 마이크로 컴퓨터
RCL,로얄 캐리비안 크루지스
HES,헤스
LII,레녹스 인터내셔널
ADM,아처-대니얼스-미들랜드
ADP,오토매틱 데이터 프로세싱
VRSK,베리스크 애널리틱스
AZO,오토존
LIN,린데
AVY,에이버리 데니슨
ENPH,인페이즈 에너지
MSCI,MSCI
BALL,볼
AXON,액손 엔터프라이즈
DAY,데이포스
CARR,Carrier Global Corp
BK,뉴욕 멜론 은행
OTIS,Otis Worldwide Corp
BAX,박스터 인터내셔널
BDX,벡톤 디킨슨
BRK/B,버크셔 해서웨이
BBY,베스트 바이
BSX,보스턴 사이언티픽
BMY,브리스톨 마이어스 스퀴브
BF/B,브라운-포맨
CTRA,코테라 에너지
HLT,힐튼 월드와이드 홀딩스
CCL,카니발
BLDR,빌더스 퍼스트소스
UDR,UDR
CLX,크로락스
PAYC,페이콤 소프트웨어
CMS,CMS 에너지
CL,콜게이트-팜올리브
EPAM,EPAM 시스템스
CAG,콘아그라 브랜즈
ABNB,에어비앤비
ED,콘솔리데이티드 에디슨
GLW,코닝
GDDY,고대디
CMI,커민스
CZR,시저스 엔터테인먼트
DHR,다나허
TGT,타겟
WSM,윌리엄스 소노마
DE,디어
D,도미니언 에너지
DOV,도버
LNT,얼라이언트 에너지
STLD,스틸 다이내믹스
DUK,듀크 에너지
REG,리젠시 센터스
ETN,이튼
ECL,에코랩
RVTY,레비티
DELL,델 테크놀로지스
EMR,에머슨 일렉트릭
EOG,EOG 리소시스
AON,에이온
ETR,엔터지
EFX,에퀴팩스
EQT,EQT
IQV,아이큐비아 홀딩스
IT,가트너
FDX,페덱스
BRO,브라운 & 브라운
F,포드 모터 컴퍼니
NEE,넥스트에라 에너지
BEN,프랭클린 리소시스
GRMN,가민
FCX,프리포트 맥모란
EXE,익스팬드 에너지
DXCM,덱스컴
GD,제너럴 다이내믹스
GIS,제너럴 밀즈
GPC,제뉴인 파츠
ATO,애트모스 에너지
GWW,WW 그레인저
HAL,할리버튼
LHX,L3해리스 테크놀로지스
DOC,헬스피크 프로퍼티스
PODD,인슐렛
FTV,포티브
HSY,허쉬
SYF,싱크로니 파이낸셜
HRL,호멜 푸즈
AJG,아서 J 갤러거
MDLZ,몬덜리즈 인터내셔널
CNP,센터포인트 에너지
HUM,휴매나
WTW,윌리스 타워스 왓슨
ITW,일리노이 툴 웍스
CDW,CDW
TT,트레인 테크놀로지스
IPG,인터퍼블릭 그룹 오브 컴퍼니스
IFF,인터내셔널 플레이버스 & 프레그런시스
GNRC,제네락 홀딩스
NXPI,NXP 세미콘덕터
K,켈라노바
BR,브로드리지 파이낸셜 솔루션스
KMB,킴벌리클라크
KIM,킴코 리얼티
ORCL,오라클
KR,크로거
LEN,레나
LLY,일라이 릴리
CHTR,차터 커뮤니케이션스
L,로우스
LOW,로우스 컴퍼니스
HUBB,허벨
IEX,아이덱스
MMC,마시 앤 맥레넌 컴퍼니
MAS,매스코
SPGI,S&P 글로벌
MDT,메드트로닉
VTRS,Viatris Inc
CVS,CVS 헬스
DD,듀폰 드 느무르
MU,마이크론 테크놀로지
MSI,모토로라 솔루션스
CBOE,Cboe 글로벌 마케츠
NEM,뉴몬트
NKE,나이키
NI,나이소스
NSC,노퍽서던
PFG,프린시플 파이낸셜 그룹
ES,에버소스 에너지
NOC,노스롭 그루만
WFC,웰스파고 & 컴퍼니
NUE,뉴코
OXY,옥시덴털 페트롤리움
OMC,옴니콤 그룹
OKE,원오케이
RJF,레이먼드 제임스 파이낸셜
PCG,PG&E
PH,파커-하니핀
ROL,롤린스
PPL,피피엘
APTV,앱티브 홀딩스
COP,코노코필립스
PHM,풀티 그룹
PNW,피너클 웨스트 캐피털
PNC,PNC 파이낸셜 서비스
PPG,PPG
DASH,DoorDash Inc
PGR,프로그레시브
VLTO,베랄토
PEG,퍼블릭 서비스 엔터프라이즈 그룹
COO,쿠퍼
EIX,에디슨 인터내셔널
SLB,슐럼버거
SCHW,찰스 슈왑
SHW,셔윈-윌리엄즈
WST,웨스트 파마수티컬 서비시즈
SJM,J.M. 스머커
SNA,스냅온
AME,아메텍
UBER,우버 테크놀로지스
SO,서던 컴퍼니
TFC,트루이스트 파이낸셜
LUV,사우스웨스트 에어라인스
WRB,WR 버클리
SWK,스탠리 블랙 앤 데커
PSA,퍼블릭 스토리지
ANET,아리스타 네트웍스
SYY,시스코
CTVA,Corteva Inc
TXN,텍사스 인스트루먼트
TXT,텍스트론
TMO,써모 피셔 사이언티픽
TJX,TJX 컴퍼니스
GL,글로브 라이프
JCI,존슨 콘트롤즈 인터내셔널
ULTA,얼타 뷰티
UNP,유니온 퍼시픽
KEYS,키사이트 테크놀로지스
UNH,유나이티드헬스 그룹
BX,블랙스톤
VTR,벤타스
LH,랩콥 홀딩스
VMC,불칸 머티리얼스
WY,와이어하우저
WMB,윌리엄스 컴퍼니스
CEG,Constellation Energy Corp
WEC,WEC 에너지 그룹
ADBE,어도비
VST,비스트라
AES,AES
EXPD,익스피다이터스
AMGN,암젠
AAPL,애플
ADSK,오토데스크
CTAS,신타스
CMCSA,컴캐스트
TAP,몰슨 쿠어스 베버리지
KLAC,KLA
MAR,메리어트 인터내셔널/메릴랜드
FI,파이서브
MKC,맥코믹/매릴랜드
PCAR,파카
COST,코스트코 홀세일
SYK,스트라이커
TSN,타이슨 푸드
LW,램 웨스턴 홀딩스
AMAT,어플라이드 머티어리얼즈
CAH,카디널 헬스
CINF,신시내티 파이낸셜
PARA,파라마운트 글로벌
DHI,D.R. 호턴
EA,일렉트로닉 아츠
ERIE,이리 인뎀니티
FICO,페어 아이삭
FAST,패스널
MTB,M&T 은행
XEL,엑셀 에너지
FITB,피프스 서드 뱅코프
GILD,길리어드 사이언스
HAS,해즈브로
HBAN,헌팅턴 뱅크셰어스 오하이오
WELL,웰타워
BIIB,바이오젠
NTRS,노던 트러스트
PKG,패키징 코퍼레이션 오브 아메리카
PAYX,페이첵스
QCOM,퀄컴
ROST,로스 스토어스
IDXX,아이덱스 래버러터리스
SBUX,스타벅스
KEY,키코프
FOXA,폭스
FOX,폭스
STT,스테이트 스트리트
NCLH,노르웨이지안 크루즈 라인 홀딩스
USB,U.S. 뱅코프
AOS,A.O. 스미스
GEN,젠 디지털
TROW,T.로우 프라이스
WM,웨이스트 매니지먼트
STZ,컨스텔레이션 브랜즈
IVZ,인베스코
INTU,인튜이트
MS,모간스탠리
MCHP,마이크로칩 테크놀러지
CRWD,Crowdstrike Holdings Inc
CB,처브
HOLX,홀로직
CFG,시티즌스 파이낸셜 그룹
JBL,자빌
ORLY,오라일리 오토모티브
ALL,올스테이트
EQR,에퀴티 레지덴셜
KDP,큐리그 닥터 페퍼
HST,호스트 호텔 & 리조츠
INCY,인사이트
SPG,사이먼 프로퍼티 그룹
EMN,이스트만 케미컬
AVB,아발론베이 커뮤니티
PRU,푸르덴셜 파이낸셜
UPS,UPS
WBA,월그린스 부츠 얼라이언스
STE,STERIS PLC
MCK,매케슨
LMT,록히드 마틴
COR,센코라
COF,캐피털 원 파이낸셜
CPB,캠벨 수프
WAT,워터스
NDSN,노드슨
DLTR,달러 트리
DRI,다든 레스토랑
EVRG,에버지
MTCH,매치 그룹
NVR,NVR
NTAP,넷앱
ODFL,올드 도미니언 프레이트 라인
DVA,다비타
HIG,하트포드 인슈어런스 그룹
IRM,아이언 마운틴
EL,에스티 로더
CDNS,케이던스 디자인 시스템
TYL,타일러 테크놀로지스
UHS,유니버설 헬스 서비시스
SWKS,스카이웍스 솔루션스
DGX,퀘스트 다이아그노스틱스
ROK,로크웰 오토메이션
KHC,크래프트 하인즈
AMT,아메리칸 타워
REGN,리제네론 파마수티컬스
AMZN,아마존 닷컴
JKHY,잭 헨리 & 어소시에이츠
RL,폴로 랄프 로렌
BXP,BXP
APH,암페놀
HWM,하우멧 에어로스페이스
VLO,발레로 에너지
SNPS,시놉시스
CHRW,CH 로빈슨 월드와이드
ACN,액센츄어
TDG,트랜스다임 그룹
YUM,염! 브랜즈
PLD,프로로지스
FE,퍼스트에너지
VRSN,베리사인
PWR,콴타 서비시스
HSIC,헨리 셰인
AEE,애머런
ANSS,앤시스
FDS,팩트셋 리서치 시스템스
NVDA,엔비디아
CTSH,코그니전트 테크놀로지 솔루션
ISRG,인튜이티브 서지컬
TTWO,테이크-투 인터랙티브 소프트웨어
RSG,리퍼블릭 서비시스
EBAY,이베이
GS,골드만삭스 그룹
SBAC,SBA 커뮤니케이션스
SRE,셈프라
MCO,무디스
ON,ON 세미콘덕터
BKNG,부킹 홀딩스
FFIV,F5
AKAM,아카마이 테크놀로지
CRL,찰스 리버 래버러토리스 인터내셔널
MKTX,마켓액세스 홀딩스
DVN,데번 에너지
TECH,바이오-테크네
GOOGL,알파벳
ALLE,얼리지언
NFLX,넷플릭스
A,애질런트 테크놀로지스
WBD,워너브라더스 디스커버리
TRMB,트림블
ELV,엘러밴스 헬스
CME,CME 그룹
JNPR,주니퍼 네트웍스
DTE,DTE 에너지
NDAQ,나스닥
PM,필립 모리스 인터내셔널
IR,잉가솔랜드
CRM,세일즈포스
ROP,로퍼 테크놀로지스
HII,헌팅턴 잉걸스 인더스트리즈
MET,메트라이프
TPR,태피스트리
CSX,CSX
EW,에드워즈 라이프사이언스
AMP,아메리프라이즈 파이낸셜
ZBRA,지브라 테크놀로지스
ZBH,짐머 바이오멧 홀딩스
CPT,캠든 프로퍼티 트러스트
CBRE,CBRE 그룹
MA,마스터카드
KMX,카맥스
ICE,인터컨티넨털 익스체인지
FIS,피델리티 내셔널 인포메이션 서비스
SW,스머핏 웨스트록
CMG,치폴리 멕시칸 그릴
WYNN,윈 리조츠
LYV,라이브 네이션 엔터테인먼트
AIZ,어슈어런트
NRG,NRG 에너지
MNST,몬스터 베버리지
RF,리전스 파이낸셜
BKR,베이커 휴즈
MOS,모자이크
EXPE,익스피디아
CF,CF 인더스트리스 홀딩스
APA,APA Corp
LDOS,레이도스 홀딩스
GOOG,알파벳
TKO,TKO Group Holdings Inc
FSLR,퍼스트 솔라
DFS,디스커버 파이낸셜 서비시스
V,비자
MAA,미드아메리카 아파트 커뮤니티스
XYL,자일럼/NY
MPC,매러선 페트롤리엄
TSCO,트랙터 서플라이
AMD,어드밴스드 마이크로 디바이시스
RMD,레스메드
MTD,메틀러 톨레도 인터내셔널
VICI,VICI Properties Inc
CPRT,코파트
J,제이콥스 솔루션스
ALB,앨버말
FTNT,포티넷
MRNA,모더나
ESS,에섹스 프로퍼티 트러스트
CSGP,코스타 그룹
O,리얼티 인컴
WAB,웨스팅하우스 에어 브레이크 테크놀로지스
PLTR,팔란티어 테크놀로지스
POOL,풀 코퍼레이션
WDC,웨스턴 디지털
PEP,펩시코
TEL,TE 커넥티비티
FANG,다이아몬드백 에너지
PANW,팔로 알토 네트웍스
NOW,서비스나우
CHD,처치 & 드와이트
FRT,페더럴 리얼티 인베스트먼트 트러스트
MGM,MGM 리조츠 인터내셔널
AEP,아메리칸 일렉트릭 파워
INVH,인비테이션 홈스
PTC,PTC
JBHT,J.B. 헌트 트랜스포트 서비시스
LRCX,램리서치
MHK,모호크 인더스트리스
GEHC,GE 헬스케어 테크놀로지스
PNR,펜테어
VRTX,버텍스 파마수티컬스
AMCR,Amcor PLC
META,메타 플랫폼스
TMUS,T-모바일 US
URI,유나이티드 렌털스
ARE,알렉산드리아 리얼에스테이트 에퀴티스
HON,허니웰 인터내셔널
DAL,델타 에어라인스
UAL,유나이티드 에어라인스 홀딩스
STX,씨게이트 테크놀로지 홀딩스
NWS,뉴스 코퍼레이션
CNC,센틴
APO,아폴로 글로벌 매니지먼트
MLM,마틴 마리에타 머터리얼스
TER,테라다인
PYPL,페이팔 홀딩스
TSLA,테슬라
BLK,블랙록
KKR,KKR
ACGL,아치 캐피털 그룹
DOW,Dow Inc
EG,에베레스트 그룹
TDY,텔레다인 테크놀로지스
DPZ,도미노 피자
GEV,GE 베르노바 Inc
NWSA,뉴스 코퍼레이션
EXC,엑셀론
GPN,글로벌 페이먼츠
CCI,크라운 캐슬
ALGN,얼라인 테크놀로지
KVUE,켄뷰
TRGP,타가 리소시스
BG,번지 글로벌
LKQ,LKQ
DECK,덱커스 아웃도어
WDAY,워크데이
ZTS,조에티스
EQIX,이퀴닉스
DLR,디지털 리얼티 트러스트
MOH,몰리나 헬스케어
LVS,라스베이거스 샌즈
